input,explanation,answer
撇开一切剩张嘴(猜一字),提示：“撇”的形状为“丿”。“开一”二字明扣。“嘴”即“口”之意。口+丿+开+一=研。,研
人口结构要改变(猜一字),提示：“人口结构要改变”理解为“人口”二字改变字的笔画结构，组成字“丙”。人+口=丙。,丙
码头扩展(猜一字),提示：“码头”指的是“码”字笔画的头部，为“石”。“展”明扣。展+石=碾。,碾
猪马同槽(猜一字),提示：“猪”与十二地支中的“亥”相扣。“亥”与谜面中的“马”组成字“骇”。亥+马=骇。,骇
归心如箭(猜一字),提示：“归心”指的是“归”字笔画的中心部分，为“丿”。“箭”即“矢”之意。“归心如箭”反过来理解就是“矢”字笔画中的“丿”没有，去掉，剩下“天”。,天
古稀犹画眉(猜一字),提示：“古稀”是七十岁的代称，扣“七十”。“画眉”指的是画眉鸟，扣“鸟”。鸟+七+十=鸨。,鸨
一到西亚分开干(猜一字),提示：“一到西亚分开干”反过来理解就是“一”“西亚”笔画合拢，组成“酽”。,酽
半是机遇半是缘(猜一字),提示：“半是机”理解为“机”字的一半，取“木”。“半是缘”理解为“缘”字的一半，取“彖”。彖+木=椽。,椽
拆掉围墙有人来(猜一字),提示：“拆掉围墙”理解为“围”字外面的“墙”全部拆除掉，剩下中间的“韦”。“人”理解为单人旁“亻”。亻+韦=伟。,伟
除非伸出舌头来(猜一字),提示：“非”符号为“一”。“舌头”指的是“舌”笔画头部，为“千”。,壬
太阳下面一横长，里字下边放(猜一字),提示：“日”字义为“太阳”，与谜面中的“太阳”相扣。“横”的形状为“一”。“一”“日”与谜面中的“里”组成字“量”。一+日+里=量。,量
大王分房，总共四床(猜一字),提示：“床”的形状应该为长方形，这里用“口”代指。“四床”理解为四个“口”，即“口口口口”。“口口口口”与谜面中的“王”组成字“噩”。口+口+口+口+王=噩。,噩
共多一小点(猜一字),提示：“共”明扣。“小”明扣。“点”的形状为“、”。“共多一小点”指的是“共”“小”与“、”组成字“恭”。,恭
一字生得妙，头上两只角，腰里六个口，底下八字脚(猜一字),提示：“典”字头部的两竖，就像两只角一样，中间部分为六个“口”组成，下面部分为“八”。,典
山水画中消前愁(猜一字),提示：“山”明扣。“画中”指的是“画”字笔画的中间部分，为“田”。“消前愁”指的是“愁”字笔画的前面部分消除了，剩下“心”。山+田+心=崽。,崽
十六天(猜一字),提示：“十六天”即“一十六日”，“一十六日”四字组成字“章”。一+十+六+日=章。,章
岭后桂香传阶前(猜一字),提示：“岭后”指的是“岭”字笔画的后面部分，为“令”。“阶前”指的是“阶”字笔画的前面部分，为“阝”。阝+令=邻。,邻
陕西省改革，开了个好头(猜一字),提示：“陕西省”指的是“陕”字笔画的西面（左边部分）省去，去掉，剩下“夹”。“陕西省改革，开了个好头”指的是“夹”字笔画中的“头”去掉，开除，剩下“一”。夹-头=一。,一
一直尽力而为(猜一字),提示：“直”理解为竖直，形状为“丨”。“一直”理解为“一”与“丨”组成字“十”。“尽力而为”理解为“为”字的“力”尽了，没有了，剩下“、、”。“、、”与“十”组成字“斗”。,斗
渔村半落夕阳中(猜一字),提示：“渔村半落”理解为“渔村”二字的一半下落不明，剩下“鱼木”二字。“夕阳”说明是日光，扣“日”。日+鱼+木=橹。,橹
贪利最终要出丑(猜一字),提示：“丑”与十二生肖中的“牛”相扣。“牛”与谜面中的“利”组成字“犁”。牛+利=犁。,犁
天狗食月，徒留一边(猜一字),提示：“犬”字义为“狗”，与谜面中的“狗”相扣。“犬”与谜面中的“月”组成字“肰”。犬+月=肰。,肰
亲，刚好500克(猜一字),提示：“亲”明扣。“500克”等于“一斤”，扣“斤”。斤+亲=新。,新
湖中水清月儿移(猜一字),提示：“水”理解为三点水“氵”。“湖中水清月儿移”指的是“湖”字笔画中的“氵”清除，去掉，“月”移走，去掉，剩下“古”。,古
空前未有(猜一字),提示：“空前未有”理解为“空”字的前面部分（穴）没有了，剩下下面部分的“工”。,工
悲喜交加(猜一字),提示：“悲”理解为悲伤的时候会流下泪水，扣“水”，“水”理解为三点水“氵”。“喜”理解为高兴，快乐，扣“乐”。乐+氵=泺。,泺
个个上前线去(猜一字),提示：“个个”理解为“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”。“前线去”理解为“线”字去掉前面部分，剩下“戋”。戋+⺮=笺。,笺
夕阳落在树林下(猜一字),提示：“夕阳落在树林下”理解为“夕”字在“林”字的下面，组成字“梦”。夕+林=梦。,梦
一行雁阵上云端(猜一字),提示：“雁阵”理解为大雁按着“人字形”飞行，扣“人”。谜面理解为“人”字在“云”的顶端，组成字“会”。人+云=会。,会
闺中少女欲思春(猜一字),提示：“闺中少”理解为“闺”字中间部分少了，没有了，剩下“门”。“春”五行属“木”，扣“木”。“木”“门”与谜面中的“女”组成字“娴”。木+门+女=娴。,娴
十一相逢当碰杯(猜一字),提示：“十一相逢”指的是“十”与“一”相逢，组成字“干”。“碰杯”指的是“干杯”，二次紧扣谜底。,干
秋后重寄语(猜一字),提示：“秋后”理解为“秋”字的后面部分，为“火”。“秋后重”理解为“火”字重复，即“火火”。“语”理解为言语，扣“言”，“言”理解为言字旁“讠”。讠+火+火=谈。,谈
山水之中半展帆(猜一字),提示：“山水之中”理解为“山水”二字的中间部分，为“丨亅”。“半展帆”理解为“展帆”二字各取一半，分别取“尸巾”。尸+巾+丨+亅=刷。,刷
工作落空，心悬成病(猜一字),提示：“工作落空”指的是“空”字笔画中的“工”落掉，去掉，剩下“穴”。“心悬成病”扣“串”。,窜
生孝者峤，死孝者戎(猜一字),提示：臣以和峤生孝，王戎死孝。陛下不应忧峤，而应忧戎。“生孝者峤，死孝者戎”出自《世说新语》，人物为“王戎”、“和峤”，扣“王和”二字。王+和=程。,程
伸手拥抱(猜一字),提示：“手”理解为提手旁“扌”。“伸手拥抱”反过来理解就是“拥”字的“扌”没有抱在一起，没有得到，剩下“用”。拥-扌=用。,用
走西口(猜一字),提示：“走西口”理解为“西”字的“口”走掉了，剩下“兀”。西-口=兀。,兀
木兰褪去旧日装(猜一字),提示：“木兰”二字明扣。“褪去旧日”指的是“旧”字笔画中的“日”褪去，去掉，剩下“丨”。木+兰+丨=样。,样
只在苦心中(猜一字),提示：“苦心”指的是“苦”字笔画的中心部分，为“十”。“只在苦心中”指的是“只”与“十”组成字“呆”。,呆
车来乘客不复还(猜一字),提示：“车”明扣。“不复还”指的是“还”字笔画中的“不”去掉，剩下“辶”。辶+车=连。,连
拨草(猜一字),提示：“草”字上面的草字头（艹），也为“草”，所以“拨草”理解为拔掉“草”字的“艹”，剩下“早”。草-艹=早。,早
殿下明日归去(猜一字),提示：“明日归去”理解为“明”字的“日”归去了，没有了，剩下“月”。“月”与谜面中的“殿”组成字“臀”。月+殿=臀。,臀
寄语犹在耳，痴念漂四方；痛苦知无尽，相思意如芒(猜一字),提示：“寄语犹在耳”指的是谜底的读音与“寄”谐音。“四方”指的是四方形，形状为“口”；“痴漂四方”指的是“痴”字笔画中的“口”漂走，去掉，剩下“疾”。“念”为“廿”的大写，“廿”字义为“二十”，“二十”理解为两个“十”字，即“十十”，“十”与“十”组成字“艹”。艹+疾=蒺。“痛苦知无尽，相思意如芒”指的是“蒺”的字义，作用。“蒺”一年生草本植物。茎平卧。果实有刺，可入药，主治头痛、风痒等。,蒺
一点一横一飘，背上背个药包包(猜一字),提示：“点”理解为符号“、”。“横”理解为横竖的横，形状为“一”。“飘”理解为一撇，即“丿”。“药包包”的形状为“方”字的没有“、”“一”“丿”的部分。,方
出手衣来依旧属(猜一字),提示：“出手衣来依”指的是“依”字笔画中的“衣”出去，去掉，剩下“亻”。“旧”明扣。旧+亻=伸。,伸
心大一点(猜一字),提示：“点”理解为符号“、”。“、”与谜面中的“大”字组成字“太”。,态
萧条江头鸟罢鸣(猜一字),提示：“萧条江头”指的是“萧条江”三字笔画的头部，分别为“艹夂氵”。“鸟罢鸣”指的是“鸣”字笔画中的“鸟”罢黜，去掉，剩下“口”。口+艹+夂+氵=落。,落
半数持枪半带剑(猜一字),提示：“半数持枪”理解为“枪”字的一半，取“木”。“半带剑”理解为“剑”字的一半，取“佥”。佥+木=检。,检
寒秋日临近(猜一字),提示：“寒”理解为寒冷，说明无“火”；“寒秋”理解为“秋”字的“火”无，没有了，剩下“禾”。“禾”与谜面中的“日”组成字“香”。禾+日=香。,香
子敬夜来收学子(猜一字),提示：“子敬”是“鲁肃”的字，扣“鲁”；“夜”说明没有日（太阳）；“子敬夜”指的是“鲁”字笔画没有“日”，剩下“鱼”。“收学子”指的是“学”字笔画中的“子”收走，去掉，剩下“龸”。“子敬夜来收学子”指的是“鱼”与“龸”组成字“鲎”。,鲎
仰头望南岳，人在画中游(猜一字),提示：“仰头”指的是“仰”字笔画的头部，为“亻”。“南岳”指的是“岳”字笔画的南面（下面部分），为“山”。亻+山=仙。“人”理解为单人旁“亻”。“画中游”指的是“画”字笔画的中间部分游走，去掉，剩下部分调整笔画，变成字“山”。亻+山=仙。第二次紧扣谜底。,仙
一江清流皆秋色(猜一字),提示：“流”理解为流水，扣“水”，“水”理解为三点水“氵”。“江清流”理解为“江”字清除掉“氵”，剩下“工”。“秋色”字义为“白色”，扣“白”。“白”“工”与谜面中的“一”组成字“珀”。白+工+一=珀。,珀
着我扁舟一叶(猜一字),提示：“余”字义为“我”，与谜面中的“我”相扣。“扁舟”的形状为“辶”。辶+余=途。,途
大干带来新面貌(猜一字),提示：“大干带来新面貌”理解为“大干”二字打乱笔画，重新组合成新的字，为“全”。大+干=全。,全
半路相逢(猜一字),提示：“半路相逢”指的是“路相”笔画的一半，分别取“各木”，组成字“格”。,格
下山要格外小心(猜一字),提示：“下山”指的是“山”字笔画的下面部分，为“一”。“格”理解为方格，形状为“口”。“小心”指的是“小”字笔画的中心部分，为“亅”。亅+一+口=可。,可
汽车到了站乘客人不见(猜一字),提示：“汽车到了站乘客人不见”指的是“乘”车的“人”不见了，剩下“乖”。乘-人=乖。,乖
一日不见，如三月兮(猜一字),提示：“日”明扣。农历的“三月”为辰月，扣“辰”。“一日不见，如三月兮”反过来理解就是“辰”与出现的“日”组成字“晨”。辰+日=晨。,晨
一黑一白一阴一阳(猜一字),提示：“日”代表阳光，光明，白天，阳刚之气。“月”代表晚上，阴柔之气。日+月=明。,明
一边大一边小，一边会跑一会边跳，会跳的吃人，会跑的吃草(猜一字),提示：“骚”字拆分为“马蚤”，“马”比较大，跳蚤比较小；马喜欢奔跑，跳蚤是跳；马喜欢吃草，跳蚤喜欢吸血。,骚
抛多一点变了形(猜一字),提示：“点”理解为“、”。“抛多一点变了形”理解为“抛”字增加“、”，在调整笔画，变成字“势”。,势
拆掉床木架，一人好住下(猜一字),提示：“拆掉床木架”理解为“床”字的“木”拆掉了，没有了，剩下“广”。“广”与谜面中的“一人”组成字“庆”。广+一+人=庆。,庆
孔子独奔向前方(猜一字),提示：“孔子”即孔丘，扣“丘”；“独”字义为“一个”，扣“一”；“孔子独奔”指的是“丘”字笔画中的“一”奔走，去掉，剩下“斤”。“向前”指的是“向”字笔画的前面部分，为“、”。,斥
不足之处(猜一字),提示：“不足之处”理解为“处”字有部分不足，缺少部分，变成字“外”。,外
鹰鸟飞去一点不见(猜一字),提示：“点”理解为符号“、”。“鹰鸟飞去一点不见”理解为“鹰”字的“鸟”飞走了，“、”不见了，剩下“雁”。,雁
二人不再有偏见(猜一字),提示：“二人”“见”明扣，组成“规”。,规
前没有后有，左没有右有，暗没有亮有，低没有高有(猜一字),提示：谜面中“后”“右”“亮”“高”四字都含有的笔画部分，为“口”。,口
人有他则变大(猜一字),提示：“人有他则变大”理解为“人”字有了谜底“一”，则变成字“大”。大-人=一。,一
人生离合爱心留(猜一字),提示：“离合”理解为“合”字离开部分，剩下“一”。“爱心”理解为“爱”字的中心部分，为“冖”。“留”与“牛”谐音相扣。“一”“牛”“冖”与谜面中的“人”组成字“牵”。一+人+冖+牛=牵。,牵
故人东去到上海(猜一字),提示：“故人东去”理解为“故人”二字去掉东面（右边部分），分别剩下“古丿”。“上海”理解为“海”字的上面，开始部分，为“氵”。氵+古+丿=活。,活
关云长准点赴会(猜一字),提示：“关云长”指的是关羽，扣“羽”。“准”明扣。“点”形状为“、”。,濯
标示左急转，连连刹住车(猜一字),提示：“连连刹住车”指的是“连”字笔画中的“车”去掉，剩下“辶”。“标示左急转，连连刹住车”说明有很多的急转弯，形状为“<<<”。辶+<<<=巡。“连连刹住车”还说明了是连续急转弯，参考连续急转弯指示牌标志。,巡
我有一言不能忘(猜一字),提示：“我”理解为自己，扣“己”。“言”理解为言字旁“讠”。讠+己=记。“不能忘”说明需要记住，扣“记”，第二次紧扣谜底。,记
为人要直(猜一字),提示：“直”理解为竖直，符号为“丨”。“丨”与谜面中的“人”组成字“个”。丨+人=个。,个
春节后干劲冲天(猜一字),提示：“春节后”指的是“春”字笔画的后面部分节省，去掉，剩下“三人”。“干劲冲天”指的是“干”字笔画的（丨）冲出去，变成字“二丨”。,奉
添得酒后香四溢(猜一字),提示：“酒后”理解为“酒”字的后面部分，为“酉”。“香”理解为香醇，扣“醇”。“添得酒后香四溢”反过来理解就是“醇”字的“酉”没有添加，减少了，剩下“享”。醇-酉=享。,享
准备在先，再稍改动(猜一字),提示：“准备在先”理解为“准备”二字的先头部分，分别为“冫攵”。“再稍改动”理解为“冫攵”稍微改动一下笔画，组成字“冬”。,冬
一个小呆瓜，躲在草底下(猜一字),提示：“一个”理解为一个人，扣“人”，“人”理解为单人旁“亻”。“呆”明扣。“草”理解为草字头“艹”。亻+呆+艹=葆。,葆
去，一直去(猜一字),提示：“直”理解为竖直，形状为“丨”。“去，一直去”理解为“去”字去掉“丨”，剩下“云”。去-丨=云。,云
小两口阶前排污水(猜一字),提示：“小两口”指的是两个“口”字，即“口口”。“阶前”指的是“阶”字的前面部分，为“阝”。“排污水”指的是“污”字的“水（氵）”排掉了，剩下“亏”。口+口+阝+亏=鄂。,鄂
放他一马叫滚人(猜一字),提示：“人”理解为单人旁“亻”。“放他一马叫滚人”理解为“他”字的“亻”放走了，剩下“也”，“也”与“马”组成字“驰”。,驰
刃(猜一字),提示：“刃”的字义为“刀、剑等锋利的部分；刀口”，扣“刀口”二字。“刀”与“口”组成字“召”。,召
雨天没有阴天有，田里没有湖里有，今天没有明天有(猜一字),提示：谜面中“阴”“湖”“明”三字都有的笔画部分为“月”。,月
战前选先锋(猜一字),提示：“战前”理解为“战”字的前面部分，为“占”。“先锋”理解为“锋”字的先头部分，为“钅”。钅+占=钻。,钻
难免又生是非(猜一字),提示：“难免又”理解为“难”字免除掉了“又”，剩下“隹”。“是非”理解为数学中的符号“+一”。“隹”与“+一”组成字“堆”。,堆
恐龙在广场(猜一字),提示：“恐龙在广场”指的是“龙”与“广”调整笔画，组成“庞”。,庞
引火闪电雷呜，张口怒吼高声，伸手亲切搂抱，穿衣挡寒御风(猜一字),提示：谜底“包”字有“火”组成字“炮”，炮弹爆炸的时候威力无穷。谜底“包”字有“口”组成字“咆”，咆哮的时候说明十分的生气，声音高。“手”理解为提手旁“扌”。“扌”与谜底“包”组成字“抱”。“衣”理解为衣字旁“礻”。“礻”与谜底“包”组成字“袍”，袍子能够抵御寒冷。,包
春走三人，生牛走了(猜一字),提示：“春走三人”指的是“春”笔画去掉“三人”，剩下“日”。“生牛走了”指的是“生”笔画“牛”去掉，剩下“一”。一+日=旦。,旦
多两点没力(猜一字),提示：“两点”理解为“、、”。“多两点没力”理解为“力”字多了“、、”，组成字“为”。,为
驳回诉求(猜一字),提示：“驳回诉求”说明白告了，扣“白告”，“白告”调整笔画，组成“皓”字。,皓
横看直看皆一样(猜一字),提示：“田”理解为“田”字横着看是“田”，竖着看也是“田”字。,田
留下一点(猜一字),提示：“留下”理解为“留”字的下面部分，为“田”。“点”理解为符号“、”。“、”“田”与谜面中的“一”组成字“亩”。,亩
两个人分手后拜拜(猜一字),提示：“两个人分手后拜拜”理解为两个“手”字，即“手手”，“手手”与“分”组成字“掰”。手+手+分=掰。,掰
乍看有一人，数数上万千(猜一字),提示：“一”与“乙”谐音相扣。“人”理解为单人旁“亻”。亻+乙=亿。,亿
先立后破，飞速转型(猜一字),提示：“先立”指的是“立”笔画先头部分，为“、”。“后破”指的是“破”笔画后面部分，为“皮”。“飞速转型”指的是“飞”笔画从左往右旋转180度。,疲
牛牛多了两条腿(猜一字),提示：“两条腿”的形状为“八”。“牛牛多了两条腿”理解为“牛”字多了“八”，组成字“朱”。牛+八=朱。,朱
朋友走又一个月(猜一字),提示：“朋友走又一个月”指的是“朋友”二字笔画的“又”“月”走了，去掉，剩下部分组成字“有”。,有
萧墙前后(猜一字),提示：“萧墙前后”指的是“萧”字笔画的前面部分“艹”；“墙”字笔画的后面部分“啬”。啬+艹=蔷。,蔷
一心要就业(猜一字),提示：谜面中的“一心”与“业”组成字“恶”。一+心+业=恶。,恶
离开台北到北京(猜一字),提示：“离开”理解为“开”字笔画分离开，拆分为“一廾”。“台北”理解为“台”字的北面（上面部分），为“厶”。“北京”理解为“京”字的北面（上面部分），为“、”。,弃
汉高祖还乡容已改(猜一字),提示：“汉高祖”指的是“刘邦”，扣“邦”。“乡容已改”理解为“乡”字改变容貌，调整笔画，变成字“纟”。纟+邦=绑。,绑
半册多一点(猜一字),提示：“点”指的是符号“、”。“半册多一点”指的是“册”字的一半多一“、”，组成字“丹”。,丹
上面六有多，下面四有余(猜一字),提示：“上面六有多”理解为“六”字多出来一部分，变成字“兴”。“下面四有余”理解为“四”字多出来部分，变成字“皿”。兴+皿=益。,益
上下一致方向正(猜一字),提示：“上下一致”指的是上下都是“一”，说明有两个“一”，即“一一”。“方”理解为方格，形状为“口”。“正”指的是正号，符号为“+”。“上下一致方向正”指的是“一一”“口”与“+”组成字“呈”。,呈
劈开五岳(猜一字),提示：“五岳”指我国历史上的五大名山，即东岳泰山、西岳华山、南岳衡山、北岳恒山和中岳嵩山。“劈开五岳”说明将山分开，扣“分山”，“分”与“山”组成字“岔”。分+山=岔。,岔
一对燕子南南飞，一只瘦的一只肥，一年当中有一次，一月当中有三回(猜一字),提示：“一年当中有一次”说的是“八月”。“一月当中有三回”说的是每月的“八号、十八号、二十八号”。,八
只可我负天下人(猜一字),提示：“人”理解为单人旁“亻”。“亻”与谜面中的“可”组成字“何”。亻+可=何。,何
几时又见白头人(猜一字),提示：“几”“又”明扣。“白头”指的是“白”字笔画的头部，为“丿”。“人”理解为单人旁“亻”。亻+丿+几+又=役。,役
人一高兴就先笑(猜一字),提示：“人一”明扣。“高兴”理解为“兴”字的高处，上面部分，为“ツ一”。“先笑”理解为“笑”字的先头部分，为“⺮”。,签
无水河(猜一字),提示：“水”理解为三点水“氵”。“无水河”理解为“河”字无“氵”，剩下“可”。河-氵=可。,可
日照江畔盛世下(猜一字),提示：“日”明扣。“江畔”指的是“江”字笔画的一边，取“氵”。“盛世下”指的是“盛”字笔画的下面部分，为“皿”。皿+日+氵=温。,温
真心依旧(猜一字),提示：“真心”理解为“真”字的中心部分，为“三”。“三”与谜面中的“旧”组成字“旺”。三+旧=旺。,旺
犁跑了牛，样跑了羊(猜一字),提示：“犁跑了牛”指的是“犁”笔画去掉“牛”，剩下“利”。“样跑了羊”指的是“样”笔画“羊”去掉，剩下“木”。,梨
用其心而谋面(猜一字),提示：“其心”指的是“其”字笔画的中心部分，为“二”。“而”明扣。“用其心而谋面”说明“面”字笔画中的“二”“而”未见到，去掉，剩下“一”。,一
二人勤下功夫上百天(猜一字),提示：“二人勤下功夫”指的是“二人勤”三字笔画的“功夫”去掉，剩下“革”。“上百”指的是“百”字笔画的上面部分，为“一”。“天”即“日”之意，比如：一天（一日）。日+一+革=靼。,靼
看上去不多(猜一字),提示：“看上去”理解为“看”字去掉上面部分，剩下“目”。“不多”说明少，扣“少”。少+目=省。,省
西挪东借(猜一字),提示：“西挪”理解为“挪”字的西面（左边部分），为“扌”。“东借”理解为“借”字的东面（右边部分），为“昔”。昔+扌=措。,措
断墙柳半垂(猜一字),提示：“断墙”指的是“墙”字笔画断掉部分，去掉部分，剩下“啬”。“柳半”指的是“柳”字笔画的一半，取“木”。木+啬=樯。,樯
住房不足(猜一字),提示：“住房不足”理解为“住房”二字笔画不足，缺少部分，分别剩下“亻方”，“亻”与“方”组成字“仿”。亻+方=仿。,仿
火尽炉冷，平添意马心猿(猜一字),提示：“火尽炉冷”理解为“炉”字的“火”烧尽了，没有了，剩下“户”。“户”与谜面中的“马”组成字“驴”。户+马=驴。,驴
清早烟草起火(猜一字),提示：“清早烟草起火”指的是清除“烟草”笔画的“早”，剩下“艹烟”，“艹烟”笔画的“火”起身离开，剩下“艹因”。,茵
曲调变了，余音犹在(猜一字),提示：“曲调变了”理解为“曲”字调节笔画，再与“了”组成字“邮”。曲+了=邮。“余音犹在”理解为谜底与“犹”同音，“邮”与“犹”同音相扣。,邮
狗吠声连户内外(猜一字),提示：“狗吠声”指的是狗叫的声音“汪汪汪”，扣“汪”字。“户”指的是门户，扣“门”。“门”与“汪”组成字“润”。门+汪=润。,润
配音演员演出(猜一字),提示：“演出”实际上也是演员的一种练习，扣“习”。“习”与谜面中的“音”组成字“韵”。习+音=韵。,韵
出丑了(猜一字),提示：“出”即“卖”之意。“丑”为十二地支，与十二生肖中的“牛”相扣。牛+卖=犊。,犊
春末夏初昼渐长(猜一字),提示：“春末”理解为“春”字的末尾部分，为“日”。“夏初”理解为“夏”字的初始部分，为“一”。“春末夏初昼渐长”反过来理解就是“昼”字的“一”“日”没有生长，剩下“尺”。谜面中的“长”读第三声，义为“生长”。,尺
上面出头说原因，下面出头是冠军，上下出头是上海，都不出头在农村(猜一字),提示：“田”字出头，变成字“由”，“由”字义为“原因”。“田”字下面出头为“甲”，“甲”字义为“第一”，冠军就是第一名。“田”字上面下面出头为“申”字，“申”为上海的简称。“田”是在农村，田地里面可以种庄稼，稻谷。,田
直接进口(猜一字),提示：“直”理解为竖直，形状为“丨”。“丨”与谜面中的“口”组成字“中”。丨+口=中。,中
恰好七夕一相会(猜一字),提示：谜面中的“七夕一”三字组成字“死”。,死
你猜着一半(猜一字),提示：“你猜着一半”理解为“你猜”二字各取一半，分别取“亻青”，“亻”与“青”组成字“倩”。亻+青=倩。,倩
画中西子古来少(猜一字),提示：“画中”指的是“画”字笔画的中间部分，为“田”。“西子”指的是西子湖；“西子古来少”指的是“湖”字笔画中的“古”少，去掉，剩下“氵月”。,渭
个个相助汗水流(猜一字),提示：“个个”指的是“个”与“个”组成竹字头“⺮”。“水”指的是三点水（氵）。“汗水流”指的是“汗”字的“氵”流走了，剩下字“干”。“个个相助汗水流”指的是“⺮”相助“干”，组成字“竿”。⺮+干=竿。,竿
萌动(猜一字),提示：“艹”是由“十十”组成的字，“艹”扣“十十”。“萌动”理解为“萌”字变动，调整笔画，变成字“朝”。,朝
小小老鼠路边逛，猫儿在后却未吃(猜一字),提示：“小小老鼠路边逛，猫儿在后却未吃”说明猫儿的眼睛瞎了，扣“瞎”。,瞎
一文不取(猜一字),提示：“一文不取”理解为“文”字的“一”不取，没有了，剩下“义”。,义
提前致富上波音(猜一字),提示：“提前”理解为“提”字的前面部分，为“扌”。“致富”理解为发财，扣“发”。发+扌=拨。“波音”理解为谜底与“波”同音，“拨”与“波”同音相扣。,拨
驿后离别断桥边(猜一字),提示：“驿后离别”指的是“驿”字笔画后面部分离别，去掉，剩下“马”。“断桥边”指的是“桥”字笔画的一边断了，去掉，剩下“乔”。乔+马=骄。,骄
吹竹笛迎春(猜一字),提示：“竹”理解为竹字头“⺮”；“吹竹笛”指的是“笛”字笔画的“⺮”吹走，去掉，剩下“由”。“春”五行属木，扣“木”。木+由=柚。,柚
我的心(猜一字),提示：“吾”的字面意思是“我”，“我”扣“吾”。“心”指的是竖心旁“忄”。“忄”与“吾”组成字“悟”。忄+吾=悟。,悟
不听从个人安排(猜一字),提示：“个人安排”指的是“个”字笔画中的“人”安排走了，去掉，剩下“丨”。“不听从个人安排”指的是“听”字笔画中的“丨”不要了，剩下部分调整笔画，变成字“后”。,后
一口咬破衣(猜一字),提示：“破衣”说明是破损的衣服，即“衣”字拆开使用。“一口咬破衣”理解为“一口”与“衣”组成字“衰”。,衰
不在北京在南京(猜一字),提示：“不在北京”理解为“京”字的北面（上面部分）不要了，剩下“小”。“南京”理解为“京”字的南面（下面部分），为“小”，第二次紧扣谜底。,小
梦中有，醒来无；死了有，活着无；多则有，少则无(猜一字),提示：“梦、死、多”三字都含有的笔画部分，为“夕”。,夕
用心整容(猜一字),提示：“用心”理解为“用”字的中心部分，为“二丨”；“用心整”理解为“二丨”调整笔画，旋转方向，变成字“艹”。“艹”与谜面中的“容”组成字“蓉”。艹+容=蓉。,蓉
给西服钉个扣(猜一字),提示：“西服”理解为“服”字的西面（左边部分），为“月”。“月”与谜面中的“扣”组成字“捐”。月+扣=捐。,捐
